type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,22029,a4:83:e7:3a:61:52,-34,9,0,0,0,0,0,0,0,0,0,-90,0,5,0,762632512,0,28,0,128,0,"[0,0,5,15,5,16,5,17,5,17,5,17,4,17,3,17,3,16,3,15,2,13,2,11,3,10,4,8,4,7,6,6,7,5,8,5,9,5,9,5,10,6,9,7,8,8,7,8,6,8,4,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,8,-17,5,-16,3,-16,1,-14,-1,-13,-1,-12,-1,-11,-1,-10,1,-10,1,-10,2,-10,3,-10,4,-10,5,-10,5,-10,5,-9,5,-9,5,-8,5,-6,6,-5,6,-3,7,-2,7,1,9,2,10,3,11]"
CSI_DATA,22030,06:0e:3c:84:7f:69,-47,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762641019,0,458,0,128,0,"[0,0,11,15,13,13,12,14,12,14,11,12,11,12,12,10,12,12,12,9,13,10,10,9,11,6,12,8,13,9,13,9,14,8,14,11,13,10,10,11,10,11,8,10,7,11,5,12,5,10,2,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4,2,4,2,6,1,6,2,6,2,7,2,7,0,8,0,10,3,9,2,8,3,10,2,8,1,6,2,7,3,6,5,7,6,9,8,10,8,11,12,10,9,12,11,14,12,12,13,13]"
CSI_DATA,22031,06:0e:3c:84:7f:69,-46,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762743419,0,458,0,128,0,"[0,0,14,15,13,15,13,16,11,16,13,14,12,13,12,13,10,12,12,9,12,10,13,9,13,8,14,8,13,8,14,8,13,7,15,8,11,8,10,11,10,12,8,10,8,10,6,10,5,11,3,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,1,7,1,5,1,7,1,8,2,7,2,8,0,10,1,10,0,10,0,9,1,9,-1,9,2,10,2,11,4,9,5,11,5,10,7,11,6,12,9,11,10,11,13,13,12,13,12,13]"
CSI_DATA,22032,a4:83:e7:3a:61:52,-34,9,0,0,0,0,0,0,0,0,0,-90,0,5,0,762840579,0,28,0,128,0,"[0,0,-13,-11,-15,-11,-15,-13,-15,-14,-15,-15,-14,-14,-13,-14,-12,-14,-11,-12,-10,-11,-10,-10,-9,-8,-9,-6,-9,-5,-9,-3,-10,-2,-11,-1,-12,0,-13,-1,-13,-1,-13,-2,-13,-3,-12,-4,-11,-5,-9,-6,-7,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-16,11,-14,12,-11,13,-10,12,-8,12,-7,10,-6,9,-6,8,-7,7,-7,6,-8,6,-9,6,-10,6,-11,5,-11,5,-11,5,-11,3,-11,3,-10,2,-10,0,-9,-2,-9,-4,-8,-6,-8,-8,-9,-11,-10]"
CSI_DATA,22033,a4:83:e7:3a:61:52,-34,9,0,0,0,0,0,0,0,0,0,-90,0,5,0,763004380,0,28,0,128,0,"[0,0,-13,11,-15,11,-16,12,-16,11,-16,11,-16,11,-16,10,-15,9,-14,9,-13,8,-10,7,-9,7,-7,7,-5,7,-3,8,-2,9,-1,10,-1,11,-1,12,-2,12,-3,12,-4,12,-5,11,-5,9,-5,8,-5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-14,-10,-16,-8,-16,-6,-16,-4,-15,-3,-14,-3,-13,-3,-13,-3,-10,-5,-9,-6,-9,-7,-9,-8,-8,-9,-8,-9,-8,-10,-8,-10,-7,-10,-6,-10,-6,-9,-4,-9,-2,-10,-1,-9,1,-10,4,-10,5,-10,7]"
CSI_DATA,22034,06:0e:3c:84:7f:69,-54,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,763052580,0,458,0,128,0,"[0,0,-12,-13,-16,-13,-13,-14,-14,-14,-15,-13,-11,-15,-8,-11,-9,-14,-8,-11,-9,-9,-8,-9,-11,-7,-12,-7,-10,-10,-11,-7,-8,-6,-12,-8,-9,-6,-4,-7,-5,-9,-4,-10,-1,-9,-5,-10,-1,-7,-3,-9,-3,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,3,-4,2,-2,1,-5,3,-2,0,-3,4,-7,-3,-4,0,-3,0,-7,-3,-6,-2,-6,-1,-8,-2,-8,-5,-7,-6,-10,-6,-8,-8,-11,-6,-9,-7,-7,-10,-9,-10,-11,-10,-9,-14,-10,-13,-11,-14,-15]"
CSI_DATA,22035,06:0e:3c:84:7f:69,-53,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,763153026,0,458,0,128,0,"[0,0,-20,-5,-18,-8,-19,-8,-16,-9,-15,-9,-15,-4,-17,-7,-16,-9,-14,-7,-16,-5,-14,-5,-14,-1,-14,0,-15,0,-13,-1,-16,1,-12,-3,-13,-5,-10,-7,-10,-5,-10,-5,-6,-10,-8,-7,-4,-5,-3,-5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,3,-7,4,-3,5,-4,2,-9,1,-5,-1,-3,-2,-6,-2,-5,-2,-7,-1,-7,-4,-5,-4,-5,-4,-6,-9,-9,-7,-6,-7,-4,-10,-7,-13,-9,-13,-4,-16,-5,-15,-9,-15,-4,-17,-4,-17,-5,-19,-5]"
CSI_DATA,22036,a4:83:e7:3a:61:52,-34,9,0,0,0,0,0,0,0,0,0,-90,0,5,0,763204834,0,28,0,128,0,"[0,0,8,-14,8,-16,8,-17,10,-18,10,-18,11,-18,10,-17,10,-16,9,-15,8,-13,7,-12,6,-10,4,-9,2,-9,0,-9,-2,-10,-4,-10,-4,-11,-5,-12,-4,-12,-3,-13,-2,-13,-1,-13,0,-11,1,-10,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,11,14,9,15,6,15,5,15,4,14,4,12,3,11,4,9,5,9,6,7,7,7,8,6,8,6,9,6,10,5,9,5,10,4,9,3,8,1,8,0,7,-2,6,-3,7,-6,7,-9,7,-12]"
CSI_DATA,22037,06:0e:3c:84:7f:69,-53,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,763255419,0,458,0,128,0,"[0,0,-9,20,-7,17,-7,14,-9,20,-9,10,-10,16,-8,15,-10,14,-7,12,-6,10,-5,16,-4,11,-4,16,-3,16,-1,12,-4,12,-7,11,-4,11,-7,8,-5,6,-7,7,-7,8,-7,5,-5,5,-8,7,-7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,-7,1,-4,-3,-7,0,-3,-1,-3,0,-3,0,-6,1,-4,1,-3,2,-6,0,-7,2,-6,4,-6,5,-8,9,-5,8,-5,6,-5,10,-6,13,-7,14,-6,9,-3,15,-6,17,-5,16,-7,16,-9,21]"
CSI_DATA,22038,06:0e:3c:84:7f:69,-54,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,763357819,0,458,0,128,0,"[0,0,-11,20,-12,19,-14,16,-11,17,-11,15,-13,15,-8,14,-9,14,-11,14,-5,14,-6,12,-6,13,-8,14,-5,14,-7,11,-4,10,-5,13,-8,12,-8,9,-7,5,-5,4,-6,5,-8,3,-9,3,-5,4,-6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-7,-4,-6,0,-4,-4,-7,-2,-4,-4,-7,0,-8,-2,-5,3,-4,4,-8,1,-6,2,-5,0,-3,4,-10,7,-12,5,-12,4,-8,7,-11,9,-6,9,-11,16,-11,14,-7,15,-8,21,-3,14,-9,17]"
